Company Name,Industry,Symbol,Series,ISIN Code
3M India Ltd.,CONSUMER GOODS,3MINDIA,EQ,INE470A01017
AIA Engineering Ltd.,INDUSTRIAL MANUFACTURING,AIAENG,EQ,INE212H01026
Ajanta Pharmaceuticals Ltd.,PHARMA,AJANTPHARM,EQ,INE031B01049
Akzo Nobel India Ltd.,CONSUMER GOODS,AKZOINDIA,EQ,INE133A01011
Alembic Pharmaceuticals Ltd.,PHARMA,APLLTD,EQ,INE901L01018
Amara Raja Batteries Ltd.,AUTOMOBILE,AMARAJABAT,EQ,INE885A01032
Astral Ltd.,INDUSTRIAL MANUFACTURING,ASTRAL,EQ,INE006I01046
Atul Ltd.,CHEMICALS,ATUL,EQ,INE100A01010
Balkrishna Industries Ltd.,AUTOMOBILE,BALKRISIND,EQ,INE787D01026
Bata India Ltd.,CONSUMER GOODS,BATAINDIA,EQ,INE176A01028
Bayer Cropscience Ltd.,FERTILISERS & PESTICIDES,BAYERCROP,EQ,INE462A01022
Bharat Electronics Ltd.,INDUSTRIAL MANUFACTURING,BEL,EQ,INE263A01024
CRISIL Ltd.,FINANCIAL SERVICES,CRISIL,EQ,INE007A01025
Castrol India Ltd.,OIL & GAS,CASTROLIND,EQ,INE172A01027
Cholamandalam Investment and Finance Company Ltd.,FINANCIAL SERVICES,CHOLAFIN,EQ,INE121A01024
City Union Bank Ltd.,FINANCIAL SERVICES,CUB,EQ,INE491A01021
Coforge Ltd.,IT,COFORGE,EQ,INE591G01017
Coromandel International Ltd.,FERTILISERS & PESTICIDES,COROMANDEL,EQ,INE169A01031
Emami Ltd.,CONSUMER GOODS,EMAMILTD,EQ,INE548C01032
Exide Industries Ltd.,AUTOMOBILE,EXIDEIND,EQ,INE302A01020
Gillette India Ltd.,CONSUMER GOODS,GILLETTE,EQ,INE322A01010
Glaxosmithkline Pharmaceuticals Ltd.,PHARMA,GLAXO,EQ,INE159A01016
Gujarat State Petronet Ltd.,OIL & GAS,GSPL,EQ,INE246F01010
Honeywell Automation India Ltd.,INDUSTRIAL MANUFACTURING,HONAUT,EQ,INE671A01010
Indiabulls Housing Finance Ltd.,FINANCIAL SERVICES,IBULHSGFIN,EQ,INE148I01020
Kansai Nerolac Paints Ltd.,CONSUMER GOODS,KANSAINER,EQ,INE531A01024
Manappuram Finance Ltd.,FINANCIAL SERVICES,MANAPPURAM,EQ,INE522D01027
MindTree Ltd.,IT,MINDTREE,EQ,INE018I01017
MphasiS Ltd.,IT,MPHASIS,EQ,INE356A01018
NATCO Pharma Ltd.,PHARMA,NATCOPHARM,EQ,INE987B01026
Navin Fluorine International Ltd.,CHEMICALS,NAVINFLUOR,EQ,INE048G01026
PI Industries Ltd.,FERTILISERS & PESTICIDES,PIIND,EQ,INE603J01030
Page Industries Ltd.,TEXTILES,PAGEIND,EQ,INE761H01022
Relaxo Footwears Ltd.,CONSUMER GOODS,RELAXO,EQ,INE131B01039
SKF India Ltd.,INDUSTRIAL MANUFACTURING,SKFINDIA,EQ,INE640A01023
Sanofi India Ltd.,PHARMA,SANOFI,EQ,INE058A01010
Schaeffler India Ltd.,INDUSTRIAL MANUFACTURING,SCHAEFFLER,EQ,INE513A01014
Shriram City Union Finance Ltd.,FINANCIAL SERVICES,SHRIRAMCIT,EQ,INE722A01011
Solar Industries India Ltd.,CHEMICALS,SOLARINDS,EQ,INE343H01029
Sun TV Network Ltd.,MEDIA ENTERTAINMENT & PUBLICATION,SUNTV,EQ,INE424H01027
Sundram Fasteners Ltd.,AUTOMOBILE,SUNDRMFAST,EQ,INE387A01021
Supreme Industries Ltd.,INDUSTRIAL MANUFACTURING,SUPREMEIND,EQ,INE195A01028
Symphony Ltd.,CONSUMER GOODS,SYMPHONY,EQ,INE225D01027
TTK Prestige Ltd.,CONSUMER GOODS,TTKPRESTIG,EQ,INE690A01010
Thermax Ltd.,INDUSTRIAL MANUFACTURING,THERMAX,EQ,INE152A01029
V-Guard Industries Ltd.,CONSUMER GOODS,VGUARD,EQ,INE951I01027
Vinati Organics Ltd.,CHEMICALS,VINATIORGA,EQ,INE410B01037
Voltas Ltd.,CONSUMER GOODS,VOLTAS,EQ,INE226A01021
WABCO India Ltd.,AUTOMOBILE,WABCOINDIA,EQ,INE342J01019
Whirlpool of India Ltd.,CONSUMER GOODS,WHIRLPOOL,EQ,INE716A01013
